Task,Phase,Book,Owner,Due,Done?,Notes
"Finish final read-through aloud",Final Draft,Lunchbox Letters,Me,2026-07-01,No,"Catches rhythm errors the eye misses."
"Hire / schedule a developmental editor",Editing,Lunchbox Letters,Me,2026-07-10,No,"Budget: get 3 quotes."
"Copy edit & proofread",Editing,Lunchbox Letters,Editor,2026-08-01,No,"Two passes minimum."
"Sensitivity read",Editing,Lunchbox Letters,Reader,2026-08-05,No,"Already scheduled."
"Commission cover design",Production,Lunchbox Letters,Designer,2026-08-15,No,"Front, back, spine for print."
"Write blurb & back-cover copy",Production,Lunchbox Letters,Me,2026-08-15,No,"≤150 words, hook-first."
"Format ebook (EPUB) & print (PDF)",Production,Lunchbox Letters,Me,2026-08-25,No,"Validate EPUB before upload."
"Set up ISBN & copyright",Production,Lunchbox Letters,Me,2026-08-20,No,"One ISBN per format."
"Build launch email list",Marketing,Lunchbox Letters,Me,2026-08-30,No,"Offer a free sample chapter."
"Line up early reviewers / ARCs",Marketing,Lunchbox Letters,Me,2026-09-01,No,"Aim for 15-20 ARC readers."
"Schedule launch-day posts",Marketing,Lunchbox Letters,Me,2026-09-10,No,"Graphics + 3 platforms."
"Upload to retailers / distributor",Launch,Lunchbox Letters,Me,2026-09-12,No,"Check preview on every store."
"Celebrate launch day",Launch,Lunchbox Letters,Me,2026-09-15,No,"You wrote a book. 🎉"
